"Country,""ILR"",""hDj"""
Algeria,0.754,56.5
"Argentina,""0.825"",""79.7"""
"Australia,""0.939"",""243.9"""
"Austria,""0.908"",""167.4"""
"Azerbaijan,""0.757"",""60.7"""
"Bangladesh,""0.608"",""9"""
"Belarus,""0.808"",""108.8"""
"Belgium,""0.916"",""226.4"""
"Brazil,""0.759"",""59.1"""
"Bulgaria,""0.813"",""110.5"""
"Canada,""0.926"",""390.2"""
"Chile,""0.843"",""92.3"""
"China,""0.752"",""96.9"""
"China Hong Kong SAR,""0.933"",""175.1"""
"Colombia,""0.749"",""39.7"""
"Croatia,""0.831"",""86.8"""
"Cyprus,""0.869"",""98"""
"Czech Republic,""0.888"",""166"""
"Denmark,""0.929"",""123.5"""
"Ecuador,""0.752"",""43.8"""
"Egypt,""0.696"",""39.8"""
"Estonia,""0.871"",""221.2"""
"Finland,""0.92"",""221.1"""
"France,""0.901"",""155.7"""
"Germany,""0.936"",""164.8"""
"Greece,""0.87"",""106.4"""
"Hungary,""0.838"",""102.5"""
"Iceland,""0.935"",""696.4"""
"India,""0.64"",""25"""
"Indonesia,""0.694"",""29.1"""
"Iran,""0.798"",""145.9"""
"Iraq,""0.685"",""57.2"""
"Ireland,""0.938"",""140.3"""
"Israel,""0.903"",""127"""
"Italy,""0.88"",""109.1"""
"Japan,""0.909"",""149.5"""
"Kazakhstan,""0.8"",""173.8"""
"Kuwait,""0.803"",""388.6"""
"Latvia,""0.847"",""79.8"""
"Lithuania,""0.858"",""85.1"""
"Luxembourg,""0.904"",""282.8"""
"Malaysia,""0.802"",""129.7"""
"Mexico,""0.774"",""59.8"""
"Morocco,""0.667"",""24.3"""
"Netherlands,""0.931"",""207.8"""
"New Zealand,""0.917"",""191.6"""
"North Macedonia,""0.757"",""53.1"""
"Norway,""0.953"",""370.6"""
"Oman,""0.821"",""266"""
"Pakistan,""0.562"",""17.7"""
"Peru,""0.75"",""34.7"""
"Philippines,""0.699"",""18.5"""
"Poland,""0.865"",""115.5"""
"Portugal,""0.847"",""105.7"""
"Qatar,""0.856"",""749.7"""
"Romania,""0.811"",""71.4"""
"Russian Federation,""0.816"",""209.6"""
"Saudi Arabia,""0.853"",""323.4"""
"Singapore,""0.932"",""633"""
"Slovakia,""0.855"",""125.4"""
"Slovenia,""0.896"",""141.4"""
"South Korea,""0.77"",""246.3"""
"Spain,""0.891"",""127.6"""
"Sri Lanka,""0.77"",""16.2"""
"Sweden,""0.933"",""224.8"""
"Switzerland,""0.944"",""136.3"""
"Thailand,""0.755"",""80.5"""
"Trinidad & Tobago,""0.734"",""465.5"""
"Turkey,""0.791"",""78.5"""
"Turkmenistan,""0.706"",""225.4"""
"Ukraine,""0.751"",""79.9"""
"United Arab Emirates,""0.862"",""492.3"""
"United Kingdom,""0.922"",""120.9"""
"US,""0.924"",""294.8"""
"Uzbekistan,""0.71"",""56.8"""
"Venezuela,""0.761"",""83.6"""
"Vietnam,""0.694"",""37.2"""
